,estimated_frequency
Strep_C100342,0.02142857142857143
Strep_C100343,0.007142857142857143
Strep_C100344,0.014285714285714285
Strep_C100345,0.02857142857142857
Strep_C100346,0.02857142857142857
Strep_C100347,0.007142857142857143
Strep_C100348,0.02857142857142857
Strep_C100349,0.007142857142857143
Strep_C10034,0.03571428571428571
Strep_C100350,0.4722509753246704
Strep_C100351,0.007142857142857143
Strep_C100352,0.007142857142857143
Strep_C100353,0.05
Strep_C100354,0.03571428571428571
Strep_C100355,0.05
Strep_C100356,0.007142857142857143
Strep_C100357,0.007142857142857143
Strep_C100358,0.014285714285714285
Strep_C100359,0.007142857142857143
Strep_C10035,0.08571428571428572
Strep_C100360,0.02142857142857143
Strep_C100361,0.1
Strep_C100362,0.007142857142857143
Strep_C100363,0.02857142857142857
Strep_C100364,0.014285714285714285
Strep_C100365,0.007142857142857143
Strep_C100366,0.007142857142857143
Strep_C100367,0.05714285714285714
Strep_C100368,0.007142857142857143
Strep_C100369,0.007142857142857143
Strep_C10036,0.014285714285714285
Strep_C100370,0.007142857142857143
Strep_C100371,0.05
Strep_C100372,0.007142857142857143
Strep_C100373,0.014285714285714285
Strep_C100374,0.007142857142857143
Strep_C100375,0.05714285714285714
Strep_C100376,0.5005709729162576
Strep_C100377,0.02142857142857143
Strep_C100378,0.014285714285714285
Strep_C100379,0.014285714285714285
Strep_C10037,0.007142857142857143
Strep_C100380,0.007142857142857143
Strep_C100381,0.12371009095909809
Strep_C100382,0.007142857142857143
Strep_C100383,0.014285714285714285
Strep_C100384,0.06428571428571428
Strep_C100385,0.02142857142857143
Strep_C100386,0.014285714285714285
Strep_C100387,0.007142857142857143
Strep_C100388,0.014285714285714285
Strep_C100389,0.02857142857142857
Strep_C10038,0.007142857142857143
Strep_C100390,0.1464674626805147
Strep_C100391,0.02857142857142857
Strep_C100392,0.02857142857142857
Strep_C100393,0.03571428571428571
Strep_C100394,0.04285714285714286
Strep_C100395,0.007142857142857143
Strep_C100396,0.03571428571428571
Strep_C100397,0.007142857142857143
Strep_C100398,0.02857142857142857
Strep_C100399,0.014285714285714285
Strep_C10039,0.02142857142857143
Strep_C1003,0.007142857142857143
Strep_C100400,0.007142857142857143
Strep_C100401,0.007142857142857143
Strep_C100402,0.05
Strep_C100403,0.007142857142857143
Strep_C100404,0.014285714285714285
Strep_C100405,0.02857142857142857
Strep_C100406,0.007142857142857143
Strep_C100407,0.007142857142857143
Strep_C100408,0.02142857142857143
Strep_C100409,0.03571428571428571
Strep_C10040,0.007142857142857143
Strep_C100410,0.014285714285714285
Strep_C100411,0.02857142857142857
Strep_C100412,0.02857142857142857
Strep_C100413,0.007142857142857143
Strep_C100414,0.02142857142857143
Strep_C100415,0.007142857142857143
Strep_C100416,0.007142857142857143
Strep_C100417,0.014285714285714285
Strep_C100418,0.007142857142857143
Strep_C100419,0.05714285714285714
Strep_C10041,0.014285714285714285
Strep_C100420,0.007142857142857143
Strep_C100421,0.007142857142857143
Strep_C100422,0.02857142857142857
Strep_C100423,0.014285714285714285
Strep_C100424,0.4755155644335345
Strep_C100425,0.02142857142857143
Strep_C100426,0.007142857142857143
Strep_C100427,0.007142857142857143
Strep_C100428,0.04285714285714286
Strep_C100429,0.09285714285714286
