gene	product	strains_missing	missing_percentage
Strep_C11806	MurR/RpiR family transcriptional regulator	1	11.11111111111111
Strep_C22884	membrane protein	1	11.11111111111111
Strep_C3528	alpha/beta hydrolase	1	11.11111111111111
Strep_C1102	ABC transporter permease	1	11.11111111111111
Strep_C4251	DNA-binding protein NsdB	1	11.11111111111111
Strep_C18475	TetR/AcrR family transcriptional regulator	1	11.11111111111111
Strep_C19280	Clp protease N-terminal domain-containing protein	1	11.11111111111111
Strep_C25972	transcriptional regulator WblA	1	11.11111111111111
Strep_C6415	APC family permease	1	11.11111111111111
Strep_C25777	UBP-type zinc finger domain-containing protein	1	11.11111111111111
Strep_C13946	SAM-dependent methyltransferase	1	11.11111111111111
Strep_C17598	DegT/DnrJ/EryC1/StrS family aminotransferase	1	11.11111111111111
Strep_C1294	murein biosynthesis integral membrane protein MurJ	1	11.11111111111111
Strep_C8089	aminopeptidase P family protein	1	11.11111111111111
Strep_C27118	hypothetical protein	1	11.11111111111111
Strep_C5256	hypothetical protein	1	11.11111111111111
Strep_C12851	phosphatidylinositol-specific phospholipase C/glycerophosphodiester phosphodiesterase family protein	1	11.11111111111111
Strep_C3558	MFS transporter	1	11.11111111111111
Strep_C7139	MBL fold metallo-hydrolase	1	11.11111111111111
Strep_C6139	glucarate dehydratase family protein	1	11.11111111111111
Strep_C21071	HNH endonuclease	1	11.11111111111111
Strep_C17395	AAA family ATPase	1	11.11111111111111
Strep_C19174	TetR/AcrR family transcriptional regulator	1	11.11111111111111
Strep_C6320	aspartate aminotransferase family protein	1	11.11111111111111
Strep_C5505	HAMP domain-containing sensor histidine kinase	1	11.11111111111111
Strep_C20888	DUF2617 family protein	1	11.11111111111111
Strep_C8071	iron uptake system protein EfeO	1	11.11111111111111
Strep_C6061	glycosyltransferase	1	11.11111111111111
Strep_C2365	putative bifunctional diguanylate cyclase/phosphodiesterase	1	11.11111111111111
Strep_C17733	O-methyltransferase	1	11.11111111111111
Strep_C11132	pirin family protein	1	11.11111111111111
Strep_C4217	DUF58 domain-containing protein	1	11.11111111111111
Strep_C27049	Dabb family protein	1	11.11111111111111
Strep_C27318	GlsB/YeaQ/YmgE family stress response membrane protein	1	11.11111111111111
Strep_C17188	L,D-transpeptidase family protein	1	11.11111111111111
Strep_C4099	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	1	11.11111111111111
Strep_C26478	L-rhamnose mutarotase	1	11.11111111111111
Strep_C22825	GNAT family N-acetyltransferase	1	11.11111111111111
Strep_C11545	glucosyl-3-phosphoglycerate synthase	1	11.11111111111111
Strep_C22613	RpiB/LacA/LacB family sugar-phosphate isomerase	1	11.11111111111111
Strep_C4168	3-hydroxyacyl-CoA dehydrogenase	1	11.11111111111111
Strep_C9128	adenosine deaminase	1	11.11111111111111
