,estimated_frequency
Strep_C10140,0.1163415109155265
Strep_C10141,0.1163415109155265
Strep_C10142,0.1163415109155265
Strep_C10143,0.99999999
Strep_C10144,0.1163415109155265
Strep_C10145,0.5936427844819077
Strep_C10146,0.1163415109155265
Strep_C10147,0.99999999
Strep_C10148,0.23370178103816636
Strep_C10149,0.99999999
Strep_C1014,0.23370178103816636
Strep_C10150,0.99999999
Strep_C10151,0.35245843672205746
Strep_C10152,0.35245843672205746
Strep_C10153,0.47311651524910325
Strep_C10154,0.99999999
Strep_C10155,0.11634201451864289
Strep_C10156,0.11634201451864289
Strep_C10157,0.11634201451864289
Strep_C10158,0.11634201451864289
Strep_C10159,0.471274539360154
Strep_C1015,0.1163415109155265
Strep_C10160,0.351325490499599
Strep_C10161,0.11634201451864289
Strep_C10162,0.11136757272179186
Strep_C10163,0.5555546390366239
Strep_C10164,0.99999999
Strep_C10165,0.11136757272179186
Strep_C10166,0.23305302815717163
Strep_C10167,0.23305302815717163
Strep_C10168,0.99999999
Strep_C10169,0.35245843672205746
Strep_C1016,0.23305302815717163
Strep_C10170,0.2337017810381666
Strep_C10171,0.2337017810381666
Strep_C10172,0.11634201451864289
Strep_C10173,0.11634201451864289
Strep_C10174,0.35245843672205746
Strep_C10175,0.11634201451864289
Strep_C10176,0.11634201451864289
Strep_C10177,0.35245843672205746
Strep_C10178,0.35245843672205746
Strep_C10179,0.23370178103816636
Strep_C1017,0.23370228693111114
Strep_C10180,0.47127620612957083
Strep_C10181,0.11634201451864289
Strep_C10182,0.2337017810381666
Strep_C10183,0.11634201451864289
Strep_C10184,0.1163415109155265
Strep_C10185,0.1163415109155265
Strep_C10186,0.3524582818100281
Strep_C10187,0.1163415109155265
Strep_C10188,0.1163415109155265
Strep_C10189,0.1163415109155265
Strep_C1018,0.2337017810381666
Strep_C10190,0.23370228693111114
Strep_C10191,0.1163415109155265
Strep_C10192,0.1163415109155265
Strep_C10193,0.1163415109155265
Strep_C10194,0.1163415109155265
Strep_C10195,0.1163415109155265
Strep_C10196,0.1163415109155265
Strep_C10197,0.5967242474384321
Strep_C10198,0.23370178103816636
Strep_C10199,0.11634201451864289
Strep_C1019,0.23370178103816636
Strep_C101,0.2337017810381666
Strep_C10200,0.99999999
Strep_C10201,0.11634201451864289
Strep_C10202,0.7256406595528874
Strep_C10203,0.6665403377533278
Strep_C10204,0.5967242474384321
Strep_C10205,0.11634201451864289
Strep_C10206,0.11634201451864289
Strep_C10207,0.23370228693111114
Strep_C10208,0.6665403377533278
Strep_C10209,0.5967214293920762
Strep_C1020,0.11634201451864289
Strep_C10210,0.5967214293920762
Strep_C10211,0.11634201451864289
Strep_C10212,0.11634201451864289
Strep_C10213,0.11634201451864289
Strep_C10214,0.11634201451864289
Strep_C10215,0.11634201451864289
Strep_C10216,0.2337017810381666
Strep_C10217,0.11634201451864289
Strep_C10218,0.7256406595528874
Strep_C10219,0.11136757272179186
Strep_C1021,0.23305302815717163
Strep_C10220,0.11136757272179186
Strep_C10221,0.11136757272179186
Strep_C10222,0.11136757272179186
Strep_C10223,0.7198634438443039
Strep_C10224,0.23305302815717163
Strep_C10225,0.23305302815717163
Strep_C10226,0.23305302815717163
Strep_C10227,0.23305302815717163
Strep_C10228,0.47311830745470035
Strep_C10229,0.35245843672205746
Strep_C1022,0.11634201451864289
Strep_C10230,0.35245843672205746
Strep_C10231,0.11634201451864289
Strep_C10232,0.11634201451864289
Strep_C10233,0.11634201451864289
Strep_C10234,0.47311830745470035
Strep_C10235,0.1163415109155265
Strep_C10236,0.1163415109155265
Strep_C10237,0.1163415109155265
Strep_C10238,0.23370228693111114
Strep_C10239,0.23370228693111114
Strep_C1023,0.11634201451864289
Strep_C10240,0.1163415109155265
Strep_C10241,0.1163415109155265
Strep_C10242,0.99999999
Strep_C10243,0.1163415109155265
Strep_C10244,0.99999999
Strep_C10245,0.99999999
Strep_C10246,0.5936427844819077
Strep_C10247,0.334259100712907
Strep_C10248,0.11634201451864289
Strep_C10249,0.23370228693111114
Strep_C1024,0.47311830745470035
Strep_C10250,0.99999999
Strep_C10251,0.7198643407720242
Strep_C10252,0.7256406595528874
Strep_C10253,0.23370228693111114
Strep_C10254,0.23370178103816636
Strep_C10255,0.11634201451864289
Strep_C10256,0.99999999
Strep_C10257,0.5967214293920762
Strep_C10258,0.23370228693111114
Strep_C10259,0.8524331858472348
Strep_C1025,0.7256406595528874
Strep_C10260,0.11634201451864289
Strep_C10261,0.11634201451864289
Strep_C10262,0.5967214293920762
Strep_C10263,0.11634201451864289
Strep_C10264,0.471274539360154
Strep_C10265,0.44444989529753154
Strep_C10266,0.6704550730094094
Strep_C10267,0.11136757272179186
Strep_C10268,0.11136757272179186
Strep_C10269,0.333266628208235
Strep_C1026,0.11634201451864289
Strep_C10270,0.11136757272179186
Strep_C10271,0.11136757272179186
Strep_C10272,0.11136757272179186
Strep_C10273,0.11136757272179186
Strep_C10274,0.351325490499599
Strep_C10275,0.8524313909199117
Strep_C10276,0.99999999
Strep_C10277,0.333266628208235
Strep_C10278,0.23305302815717163
